sample_id,site_id,site_name,city_cn,issue_date,target_date,target_refined_date_type,hour,actual_load,predicted_load
all_equivalent5_ext_20260314,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-08,2026-03-14,weekend_w5,9,,0.6467799804975318
all_equivalent5_ext_20260314,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-08,2026-03-14,weekend_w5,10,,0.36055439963794567
all_equivalent5_ext_20260314,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-08,2026-03-14,weekend_w5,11,,0.33513241528556215
all_equivalent5_ext_20260314,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-08,2026-03-14,weekend_w5,12,,1.203514562449165
all_equivalent5_ext_20260314,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-08,2026-03-14,weekend_w5,13,,1.087827809172976
all_equivalent5_ext_20260314,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-08,2026-03-14,weekend_w5,14,,0.464320837932654
all_equivalent5_ext_20260314,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-08,2026-03-14,weekend_w5,15,,0.4666008097800861
all_equivalent5_ext_20260314,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-08,2026-03-14,weekend_w5,16,,0.46153450042309185
all_equivalent5_ext_20260314,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-08,2026-03-14,weekend_w5,17,,0.4669323594603204
all_equivalent5_ext_20260314,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-08,2026-03-14,weekend_w5,18,,0.43369884725480856
all_equivalent5_ext_20260314,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-08,2026-03-14,weekend_w5,19,,0.9220897197469209
all_equivalent5_ext_20260314,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-08,2026-03-14,weekend_w5,20,,0.9772891796391912
all_equivalent5_ext_20260314,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-08,2026-03-14,weekend_w5,21,,0.8511393522150976
all_equivalent5_ext_20260314,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-08,2026-03-14,weekend_w5,22,,0.6721250229656599
all_equivalent5_ext_20260314,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-08,2026-03-14,weekend_w5,23,,0.6776824618362478
all_equivalent5_ext_20260315,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-09,2026-03-15,weekend_w6,0,,1.887774352733881
all_equivalent5_ext_20260315,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-09,2026-03-15,weekend_w6,1,,1.364075515646532
all_equivalent5_ext_20260315,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-09,2026-03-15,weekend_w6,2,,1.0280836256061625
all_equivalent5_ext_20260315,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-09,2026-03-15,weekend_w6,3,,0.8501734908773739
all_equivalent5_ext_20260315,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-09,2026-03-15,weekend_w6,4,,0.8090340674149421
all_equivalent5_ext_20260315,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-09,2026-03-15,weekend_w6,5,,0.8711556687596056
all_equivalent5_ext_20260315,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-09,2026-03-15,weekend_w6,6,,1.2598553488885074
all_equivalent5_ext_20260315,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-09,2026-03-15,weekend_w6,7,,1.4291776072999731
all_equivalent5_ext_20260315,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-09,2026-03-15,weekend_w6,8,,0.5860938582552555
all_equivalent5_ext_20260315,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-09,2026-03-15,weekend_w6,9,,0.5481597009547857
all_equivalent5_ext_20260315,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-09,2026-03-15,weekend_w6,10,,0.3353086922147335
all_equivalent5_ext_20260315,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-09,2026-03-15,weekend_w6,11,,0.38074121664810934
all_equivalent5_ext_20260315,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-09,2026-03-15,weekend_w6,12,,1.1713752896761127
all_equivalent5_ext_20260315,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-09,2026-03-15,weekend_w6,13,,0.9836126900526414
all_equivalent5_ext_20260315,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-09,2026-03-15,weekend_w6,14,,0.48393185027228214
all_equivalent5_ext_20260315,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-09,2026-03-15,weekend_w6,15,,0.45724593528875945
